35|1|0.9999999997
36|2|1.2599210499
37|3|1.4422495704
38|4|1.5874010520
35|5|1.7099759467
37|6|1.8171205928
34|7|1.9129311828
36|8|2.0000000001
38|9|2.0800838230
38|10|2.1544346901
38|11|2.2239800905
36|12|2.2894284851
39|13|2.3513346877
36|14|2.4101422641
37|15|2.4662120743
35|16|2.5198420998
39|17|2.5712815907
37|18|2.6207413942
37|19|2.6684016487
38|20|2.7144176166
39|21|2.7589241764
38|22|2.8020393307
38|23|2.8438669799
38|24|2.8844991406
39|25|2.9240177382
38|26|2.9624960684
39|27|3.0000000000
39|28|3.0365889719
37|29|3.0723168257
37|30|3.1072325060
39|31|3.1413806524
37|32|3.1748021040
36|33|3.2075343300
36|34|3.2396118013
40|35|3.2710663102
39|36|3.3019272489
40|37|3.3322218516
40|38|3.3619754068
40|39|3.3912114430
39|40|3.4199518934
40|41|3.4482172404
37|42|3.4760266449
39|43|3.5033980604
35|44|3.5303483353
40|45|3.5568933045
40|46|3.5830478710
39|47|3.6088260801
39|48|3.6342411856
39|49|3.6593057100
39|50|3.6840314987
39|51|3.7084297693
40|52|3.7325111568
38|53|3.7562857542
39|54|3.7797631497
40|55|3.8029524608
40|56|3.8258623655
39|57|3.8485011313
35|58|3.8708766406
36|59|3.8929964159
38|60|3.9148676412
40|61|3.9364971831
39|62|3.9578916097
38|63|3.9790572079
38|64|4.0000000000
40|65|4.0207257586
39|66|4.0412400206
40|67|4.0615481005
40|68|4.0816551019
40|69|4.1015659297
40|70|4.1212852998
40|71|4.1408177494
40|72|4.1601676461
40|73|4.1793391964
40|74|4.1983364538
39|75|4.2171633265
40|76|4.2358235843
40|77|4.2543208651
40|78|4.2726586817
38|79|4.2908404270
39|80|4.3088693801
40|81|4.3267487109
39|82|4.3444814858
39|83|4.3620706714
40|84|4.3795191399
40|85|4.3968296721
41|86|4.4140049624
39|87|4.4310476217
40|88|4.4479601811
39|89|4.4647450956
39|90|4.4814047466
40|91|4.4979414453
40|92|4.5143574355
40|93|4.5306548961
39|94|4.5468359438
40|95|4.5629026354
35|96|4.5788569702
40|97|4.5947008922
40|98|4.6104362921
37|99|4.6260650092
39|100|4.6415888336
